,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.2577773861090342,0.01693532410111828,6.52,0.12503959104563264
1,Ground,8,16,0.3134324554602305,0.016019512061896134,6.153333333333333,0.1316685781301515
2,Ground,8,32,0.4281705864270528,0.010516780573768173,5.153333333333333,0.1110199476872926
3,Ground,8,64,0.5050149726867675,0.002878468224471076,4.22,0.03768466834387586
4,Ground,8,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
5,Ground,16,8,0.25431778947512307,0.01674334195736449,6.573333333333333,0.12237276336676961
6,Ground,16,16,0.3152333337068558,0.015814184064550582,6.1466666666666665,0.12949278668954273
7,Ground,16,32,0.45495736102263135,0.006814316845109629,4.92,0.09389412858400856
8,Ground,16,64,0.5189525371789933,0.0014048304695740636,4.04,0.018633399566862312
9,Ground,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
10,Ground,32,8,0.2580362353722254,0.017061706735178074,6.526666666666666,0.1282114677489558
11,Ground,32,16,0.3355140380064646,0.016014009754246127,5.88,0.1300215091481533
12,Ground,32,32,0.4691770923137665,0.007288749673858467,4.653333333333333,0.07799883362098535
13,Ground,32,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
14,Ground,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
15,Ground,64,8,0.23195253868897756,0.016930857290789122,6.753333333333333,0.1243998268795657
16,Ground,64,16,0.31387777109940845,0.015962618423639434,6.093333333333334,0.12490593030080763
17,Ground,64,32,0.4453614928325017,0.00893607403941408,4.96,0.09779675769960276
18,Ground,64,64,0.5194745433330535,0.001311029188665231,4.033333333333333,0.017485479221180433
19,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
20,Abstract,8,8,0.3896353236834208,0.012785006797312698,5.526666666666666,0.12139998660912202
21,Abstract,8,16,0.4961909145116806,0.003953243765285414,4.346666666666667,0.055953533507777375
22,Abstract,8,32,0.5173082178831101,0.00152339771512503,4.06,0.019455680145728283
23,Abstract,8,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
24,Abstract,8,128,0.5220062732696533,0.0,4.0,0.0
25,Abstract,16,8,0.4190613609552383,0.010080950437439768,5.36,0.12087673755659782
26,Abstract,16,16,0.5022626948356629,0.003320511936958292,4.26,0.04480132628270102
27,Abstract,16,32,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
28,Abstract,16,64,0.5188742363452912,0.0012570118159056457,4.04,0.01605360149017563
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
30,Abstract,32,8,0.40581836680571237,0.011061605046819,5.433333333333334,0.11563139254150985
31,Abstract,32,16,0.502628099322319,0.003172850948948575,4.253333333333333,0.04250191906883653
32,Abstract,32,32,0.5194745433330535,0.001311029188665231,4.033333333333333,0.01748547922118043
33,Abstract,32,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
34,Abstract,32,128,0.5220062732696533,0.0,4.0,0.0
35,Abstract,64,8,0.4187304747104645,0.010386939380999346,5.24,0.10218201070130677
36,Abstract,64,16,0.504127562046051,0.003067079767946702,4.233333333333333,0.04059586016811276
37,Abstract,64,32,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201161
38,Abstract,64,64,0.5199965494871139,0.0012084654853263621,4.026666666666666,0.0162383440672451
39,Abstract,64,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
40,LLM,8,8,0.33065811892350516,0.015396654335532972,6.006666666666667,0.12708983828292494
41,LLM,8,16,0.4576372746626536,0.008030187833163404,4.793333333333333,0.08476664462959402
42,LLM,8,32,0.49773298621177675,0.003621491866587918,4.32,0.04853099288798358
43,LLM,8,64,0.5077033042907715,0.002805143339497696,4.1866666666666665,0.037106373080532246
44,LLM,8,128,0.5193962424993515,0.0011514669897256418,4.033333333333333,0.014705663024201157
45,LLM,16,8,0.3341035576661428,0.014845513035621063,6.04,0.1279261531944932
46,LLM,16,16,0.4840943342447281,0.004907659618179439,4.52,0.07124335205847605
47,LLM,16,32,0.5112790465354919,0.002481744698981673,4.14,0.03281021284774139
48,LLM,16,64,0.5168645125627518,0.001719295556654799,4.066666666666666,0.0225185316011841
49,LLM,16,128,0.5188742363452912,0.0012570118159056455,4.04,0.01605360149017563
50,LLM,32,8,0.37002130707105,0.014293772484640817,5.64,0.12488204725687899
51,LLM,32,16,0.4843517915407817,0.005516766186286937,4.486666666666666,0.06603955608523104
52,LLM,32,32,0.5102350342273713,0.002559307147440743,4.153333333333333,0.03376013118853751
53,LLM,32,64,0.5152984941005707,0.0019116469189014518,4.086666666666667,0.024914469649422726
54,LLM,32,128,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
55,LLM,64,8,0.34302623132864635,0.014897722179257148,5.926666666666667,0.1276518849393176
56,LLM,64,16,0.486054402589798,0.004369508695812347,4.48,0.05961847378210367
57,LLM,64,32,0.5108235961198807,0.0025648364096921322,4.1466666666666665,0.03461086543219769
58,LLM,64,64,0.5127667641639709,0.002268312442635195,4.12,0.02979422342402493
59,LLM,64,128,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
