,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.0011156218250592549,0.0011156218250592549,11.993333333333334,0.006666666666666666
1,Ground,8,16,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
2,Ground,8,32,0.003543739914894104,0.0020385915837212243,11.973333333333333,0.0162383440672451
3,Ground,8,64,0.008997888366381327,0.003422138367846544,11.92,0.03844866416777511
4,Ground,8,128,0.0038048880298932396,0.002223196012545361,11.966666666666667,0.023962436425231447
5,Ground,8,256,0.012617244323094686,0.003983313092276018,11.893333333333333,0.043500794990464095
6,Ground,8,512,0.01716219405333201,0.004505543573388479,11.866666666666667,0.047924872850462895
7,Ground,8,1024,0.044009372492631274,0.00705206273972415,11.58,0.08735230423937547
8,Ground,16,8,0.0011156218250592549,0.001115621825059255,11.993333333333334,0.006666666666666666
9,Ground,16,16,0.001312496264775594,0.001312496264775594,11.986666666666666,0.013333333333333332
10,Ground,16,32,0.002764882246653239,0.0020435651459100803,11.973333333333333,0.026666666666666665
11,Ground,16,64,0.008997888366381327,0.003422138367846544,11.92,0.03844866416777511
12,Ground,16,128,0.006984410186608632,0.0028501867349165775,11.953333333333333,0.02562274343931961
13,Ground,16,256,0.022142640352249145,0.005248768051897629,11.8,0.06203123987442087
14,Ground,16,512,0.030794647534688312,0.006219903748188178,11.666666666666666,0.0766564529720235
15,Ground,16,1024,0.05603069146474202,0.008092627225265787,11.346666666666666,0.10701843562215191
16,Ground,32,8,0.0009482785065968831,0.0009482785065968832,12.0,0.0
17,Ground,32,16,0.0018166037400563558,0.0018166037400563562,11.973333333333333,0.02666666666666666
18,Ground,32,32,0.001312496264775594,0.0013124962647755947,11.986666666666666,0.013333333333333332
19,Ground,32,64,0.006649723549683888,0.0027310792448247572,11.966666666666667,0.023962436425231447
20,Ground,32,128,0.012697629233201346,0.003954474957918667,11.886666666666667,0.04181205061265827
21,Ground,32,256,0.012315222720305125,0.00385510918850621,11.9,0.038715390115138165
22,Ground,32,512,0.03179725378751755,0.005854686107008225,11.753333333333334,0.06270321177254076
23,Ground,32,1024,0.047726098795731864,0.007306081946140493,11.513333333333334,0.09010889095799228
24,Ground,64,8,0.0,0.0,12.0,0.0
25,Ground,64,16,0.002659735083580017,0.0018988878430613396,11.973333333333333,0.021039361569976038
26,Ground,64,32,0.004885767300923665,0.0024387875151514328,11.96,0.02293849377453313
27,Ground,64,64,0.007882266541322073,0.0032533758213817523,11.926666666666666,0.03795283387056703
28,Ground,64,128,0.008292569220066071,0.003417012738740744,11.913333333333334,0.04116498878012371
29,Ground,64,256,0.022937177618344625,0.005048941346393516,11.826666666666666,0.050718918070686396
30,Ground,64,512,0.020641660292943318,0.004831032899629722,11.84,0.04830922024444608
31,Ground,64,1024,0.046117269297440845,0.007139063377643679,11.526666666666667,0.08550241916938986
32,Ground,128,8,0.0009482785065968831,0.000948278506596883,12.0,0.0
33,Ground,128,16,0.0011156218250592549,0.0011156218250592549,11.993333333333334,0.006666666666666666
34,Ground,128,32,0.0038048880298932396,0.002223196012545361,11.966666666666667,0.023962436425231447
35,Ground,128,64,0.007996962368488313,0.0030406258225769193,11.953333333333333,0.02890494591904899
36,Ground,128,128,0.00946725328763326,0.0036133109598547415,11.906666666666666,0.043706020826940785
37,Ground,128,256,0.013716312348842621,0.004092911797643016,11.886666666666667,0.043900096738634264
38,Ground,128,512,0.02274460603793462,0.005379055005373373,11.78,0.06476251574167079
