,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.1777802477280299,0.01725078887757045,6.966666666666667,0.11943815775211242
1,Ground,8,16,0.24743822515010833,0.016792518249859778,6.633333333333334,0.12312728419545461
2,Ground,8,32,0.3745672434568405,0.013129128855440392,5.706666666666667,0.12389887868820235
3,Ground,8,64,0.48109884480635323,0.005654346741830547,4.533333333333333,0.06994191688472173
4,Ground,8,128,0.5091936314105987,0.003094551294516712,4.173333333333333,0.0430874109381986
5,Ground,16,8,0.20313729087511698,0.017064213915916553,6.906666666666666,0.12127092330060188
6,Ground,16,16,0.2771307013432185,0.017594776042937493,6.32,0.13620618664231832
7,Ground,16,32,0.39766103903452554,0.012731527149268479,5.3933333333333335,0.11581697613572445
8,Ground,16,64,0.4945609498023987,0.004278534073291679,4.373333333333333,0.060973949523604624
9,Ground,16,128,0.5152201932668686,0.0018047391875110062,4.086666666666667,0.023048760038210964
10,Ground,32,8,0.15773094375928243,0.016264678083541012,7.18,0.10871220961334405
11,Ground,32,16,0.2737420763572057,0.017619414946879144,6.346666666666667,0.13642500596316903
12,Ground,32,32,0.41110196014245354,0.012559685109664091,5.266666666666667,0.12175696137613483
13,Ground,32,64,0.508303611278534,0.0028456214176799575,4.18,0.03792138341240354
14,Ground,32,128,0.5178302240371704,0.001441357308350908,4.053333333333334,0.018407922296694253
15,Ground,64,8,0.1669038995107015,0.01648658362849786,7.113333333333333,0.11093931536099629
16,Ground,64,16,0.3066881128152211,0.015919831976317286,6.226666666666667,0.12906362708347896
17,Ground,64,32,0.4038176673650742,0.012600064003366314,5.333333333333333,0.11688219146465773
18,Ground,64,64,0.4969478231668472,0.004096694999029097,4.34,0.05818277149920636
19,Ground,64,128,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
20,Abstract,8,8,0.3350960413614909,0.01607276711898406,5.8933333333333335,0.13214684621079728
21,Abstract,8,16,0.4770271960894267,0.0059342469145667424,4.593333333333334,0.07454360264304194
22,Abstract,8,32,0.5076276129484176,0.003180160309384598,4.193333333333333,0.044062866078360394
23,Abstract,8,64,0.5099361854791641,0.0027872880212701477,4.16,0.037933180389952074
24,Abstract,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
25,Abstract,16,8,0.3921804728110631,0.013179256693094525,5.466666666666667,0.12285444240803227
26,Abstract,16,16,0.49322811464468636,0.005625006236833146,4.38,0.07058084358368309
27,Abstract,16,32,0.5163425064086914,0.0017867401539860496,4.073333333333333,0.023357290353915344
28,Abstract,16,64,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
29,Abstract,16,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
30,Abstract,32,8,0.4005342928568522,0.01185155064631467,5.426666666666667,0.11404566245383438
31,Abstract,32,16,0.49139322102069855,0.004041144503081216,4.406666666666666,0.05523726870366074
32,Abstract,32,32,0.5152984941005707,0.0019116469189014518,4.086666666666667,0.024914469649422722
33,Abstract,32,64,0.5152984941005707,0.0019116469189014518,4.086666666666667,0.024914469649422722
34,Abstract,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
35,Abstract,64,8,0.3883599110444387,0.012108290872679063,5.593333333333334,0.11894264467317585
36,Abstract,64,16,0.49518779198328655,0.005066576406137541,4.34,0.05894675867205791
37,Abstract,64,32,0.5159771019220352,0.0020539042353184232,4.08,0.027611883445041376
38,Abstract,64,64,0.5168645125627518,0.001719295556654799,4.066666666666666,0.0225185316011841
39,Abstract,64,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
40,LLM,8,8,0.33827351629734037,0.015418502806259601,5.966666666666667,0.13491787763743326
41,LLM,8,16,0.4848803448677063,0.004810689131180006,4.506666666666667,0.06870269031830128
42,LLM,8,32,0.5036721116304398,0.0031277127860698775,4.24,0.04196515013083304
43,LLM,8,64,0.5069463956356048,0.002612150370519378,4.193333333333333,0.0337070769946423
44,LLM,8,128,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
45,LLM,16,8,0.3486316426595052,0.015290481036660178,5.8133333333333335,0.12879988698518902
46,LLM,16,16,0.4903635632991791,0.004390545373453499,4.426666666666667,0.06082701232827804
47,LLM,16,32,0.5144893842935562,0.0023014009700776253,4.1,0.03101561993721043
48,LLM,16,64,0.5164991080760956,0.0019961512355269268,4.073333333333333,0.026917167939867995
49,LLM,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
50,LLM,32,8,0.37643023987611135,0.013540005806937061,5.613333333333333,0.12069399124539806
51,LLM,32,16,0.4905606210231781,0.004164960007088731,4.42,0.057750524175158725
52,LLM,32,32,0.5153767949342728,0.0020128641421057153,4.086666666666667,0.026649882861374485
53,LLM,32,64,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
54,LLM,32,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
55,LLM,64,8,0.3813919754823049,0.012032523685773667,5.7,0.1188121672902101
56,LLM,64,16,0.48831521093845365,0.004882048961256901,4.466666666666667,0.07183542380572587
57,LLM,64,32,0.5188742363452912,0.0012570118159056457,4.04,0.016053601490175626
58,LLM,64,64,0.5147764879465103,0.001969742201530845,4.093333333333334,0.025640199608102238
59,LLM,64,128,0.5194745433330535,0.001311029188665231,4.033333333333333,0.01748547922118043
