,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.19035986026128132,0.017387627262404858,6.913333333333333,0.12331610013224954
1,Ground,8,16,0.2588148723045985,0.01717700530255503,6.52,0.12995266734253944
2,Ground,8,32,0.34384530087312065,0.015986128206182476,5.82,0.1341373965876443
3,Ground,8,64,0.48046462893486025,0.0051976662582905245,4.573333333333333,0.07529014223834318
4,Ground,8,128,0.5104699367284775,0.0027852209760116093,4.153333333333333,0.03752602874947187
5,Ground,16,8,0.18239006419976553,0.01722161091251912,6.946666666666666,0.1192019198179808
6,Ground,16,16,0.268018625775973,0.0175826407015585,6.366666666666666,0.13189944874286863
7,Ground,16,32,0.42382049083709716,0.010775193316164791,5.1866666666666665,0.1100687873865643
8,Ground,16,64,0.5029961133003235,0.00342876366886937,4.253333333333333,0.04747462919917129
9,Ground,16,128,0.5133553260564804,0.0022701482331145438,4.113333333333333,0.030706325877882516
10,Ground,32,8,0.15049539268016815,0.016256085040363986,7.173333333333333,0.10691804830310722
11,Ground,32,16,0.29654605468114215,0.015323520610089953,6.373333333333333,0.12171285629922599
12,Ground,32,32,0.40972464819749194,0.011284894038971677,5.34,0.11186041157555408
13,Ground,32,64,0.49005035996437074,0.004193128311633488,4.426666666666667,0.057809891838097975
14,Ground,32,128,0.5173865187168122,0.0016479855748167572,4.06,0.021633514475134674
15,Ground,64,8,0.17080509185791015,0.01650440442308179,7.113333333333333,0.11254098598829891
16,Ground,64,16,0.29937051932017006,0.016812574420166287,6.22,0.13605828465501915
17,Ground,64,32,0.3938182473182678,0.012340563264767923,5.473333333333334,0.11457407426491145
18,Ground,64,64,0.4979226702451706,0.0037005980828863434,4.32,0.05122219876706229
19,Ground,64,128,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201157
20,Abstract,8,8,0.3661128071943919,0.013975834135937204,5.726666666666667,0.12438543929785913
21,Abstract,8,16,0.47138569951057435,0.007807689640223327,4.6466666666666665,0.09080138694831434
22,Abstract,8,32,0.5066592919826508,0.002865260284936157,4.2,0.03783870158723217
23,Abstract,8,64,0.5106004387140274,0.0023562967339910835,4.1466666666666665,0.030486974761802312
24,Abstract,8,128,0.5152984941005707,0.0019116469189014518,4.086666666666667,0.02491446964942272
25,Abstract,16,8,0.3561341138680776,0.014497360087796556,5.753333333333333,0.11925820939073449
26,Abstract,16,16,0.4843148821592331,0.0047476384505484095,4.513333333333334,0.0686961774947215
27,Abstract,16,32,0.5146981871128082,0.0018660185677187567,4.093333333333334,0.02383137380283291
28,Abstract,16,64,0.5173865187168122,0.0016479855748167572,4.06,0.021633514475134667
29,Abstract,16,128,0.5220062732696533,0.0,4.0,0.0
30,Abstract,32,8,0.38136324286460876,0.013127227155192503,5.593333333333334,0.12043792822986149
31,Abstract,32,16,0.4891629493236542,0.004304122704514839,4.44,0.05943808464309957
32,Abstract,32,32,0.5163425064086914,0.0017867401539860494,4.073333333333333,0.023357290353915344
33,Abstract,32,64,0.5188742363452912,0.0012570118159056457,4.04,0.016053601490175626
34,Abstract,32,128,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
35,Abstract,64,8,0.37371193468570707,0.013986422730266884,5.6466666666666665,0.1273149546922604
36,Abstract,64,16,0.49467011451721193,0.00406959301312366,4.366666666666666,0.056296329002960256
37,Abstract,64,32,0.5134336268901825,0.0023564472021973377,4.113333333333333,0.03213042028252498
38,Abstract,64,64,0.5179085248708725,0.001572284360056932,4.053333333333334,0.020696305513161248
39,Abstract,64,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
