,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.002428118089834849,0.0017168588020524895,11.98,0.014867046874683931
1,Ground,8,16,0.0038048880298932396,0.002223196012545361,11.966666666666667,0.023962436425231447
2,Ground,8,32,0.014774949451287588,0.004252089988704093,11.886666666666667,0.046858028869131624
3,Ground,8,64,0.018527337809403736,0.004835459155762795,11.82,0.05521566421717728
4,Ground,8,128,0.02072905033826828,0.005017367346553134,11.806666666666667,0.054912308915171536
5,Ground,8,256,0.023846807976563772,0.005401422545008746,11.766666666666667,0.06160904860083763
6,Ground,8,512,0.050561567842960356,0.007285817589559185,11.5,0.08500559265717617
7,Ground,8,1024,0.0871600600083669,0.008689365211471628,11.08,0.11213606308541112
8,Ground,16,8,0.004945703744888306,0.002866084631052917,11.933333333333334,0.039760656041232925
9,Ground,16,16,0.0009482785065968831,0.000948278506596883,12.0,0.0
10,Ground,16,32,0.002428118089834849,0.0017168588020524895,11.98,0.014867046874683931
11,Ground,16,64,0.008008736371994018,0.003265399577477073,11.92,0.03726679913372461
12,Ground,16,128,0.024217008848985037,0.005213544417754317,11.82,0.05521566421717729
13,Ground,16,256,0.032036273181438445,0.00663543587437561,11.606666666666667,0.0881815630877879
14,Ground,16,512,0.05018585989872615,0.007043515805061639,11.58,0.08041836913267845
15,Ground,16,1024,0.10027003506819407,0.009123137172883993,10.88,0.12294667001958128
16,Ground,32,8,0.004127800663312276,0.002049905082874818,11.986666666666666,0.009396399265931733
17,Ground,32,16,0.0018965570131937663,0.0013365605194928687,12.0,0.0
18,Ground,32,32,0.006631966431935628,0.0029572835026134333,11.933333333333334,0.032310942684350454
19,Ground,32,64,0.011657623449961345,0.0038724115430041864,11.893333333333333,0.043500794990464095
20,Ground,32,128,0.015357364316781362,0.004334781121144816,11.86,0.04637171088573073
21,Ground,32,256,0.038198909064133965,0.006553219791143249,11.633333333333333,0.07592334923451304
22,Ground,32,512,0.04042494128147761,0.0066501655520256955,11.62,0.07607249574255547
23,Ground,32,1024,0.1067717166741689,0.00883203161434718,10.906666666666666,0.11903665018179319
24,Ground,64,8,0.0022607747713724773,0.001614054636562758,11.986666666666666,0.01333333333333333
25,Ground,64,16,0.007117010951042176,0.0028764345604134533,11.946666666666667,0.02464361944033505
26,Ground,64,32,0.011472091376781464,0.0038295448868668975,11.9,0.04203971702576344
27,Ground,64,64,0.01118825852870941,0.003696537007145282,11.906666666666666,0.03824642419181308
28,Ground,64,128,0.02627700358629227,0.0056471154400374235,11.753333333333334,0.06617492017114165
29,Ground,64,256,0.04139228274424871,0.006827420820461772,11.593333333333334,0.08142833780914009
30,Ground,64,512,0.050183748006820676,0.0074084139828020186,11.493333333333334,0.09110147090739767
31,Ground,64,1024,0.09459613422552744,0.008660276493074466,11.053333333333333,0.11264033421413369
32,Ground,128,8,0.004127800663312276,0.002049905082874818,11.986666666666666,0.009396399265931733
33,Ground,128,16,0.005607640246550242,0.0024874336279710734,11.966666666666667,0.01748547922118043
34,Ground,128,32,0.008216953178246816,0.003353160851266004,11.913333333333334,0.03893051995596462
35,Ground,128,64,0.01293537716070811,0.0040415397867469794,11.88,0.04428906470898229
36,Ground,128,128,0.0181222465634346,0.004732497806143837,11.833333333333334,0.053022022073452114
37,Ground,128,256,0.03670952081680298,0.00659640793515488,11.626666666666667,0.08001491285314474
38,Ground,128,512,0.050211053788661954,0.007188881228631058,11.553333333333333,0.08541865142016682
39,Ground,128,1024,0.09562862356503804,0.008883939840804595,11.0,0.11852939298856269
40,Ground,256,8,0.005868788361549377,0.002639476508373567,11.96,0.024812495949768348
41,Ground,256,16,0.005834045807520548,0.00260475101234468,11.96,0.02293849377453313
42,Ground,256,32,0.005152126848697662,0.0026039695341341625,11.953333333333333,0.02890494591904899
43,Ground,256,64,0.016937139630317687,0.00458832748986145,11.84,0.05101212734698803
44,Ground,256,128,0.01817879964907964,0.004561638130203675,11.86,0.045396587006699345
45,Ground,256,256,0.03279384255409241,0.006194953667875026,11.693333333333333,0.07262829682963008
46,Ground,256,512,0.06483170539140701,0.008374053293098269,11.273333333333333,0.11027590643763174
47,Ground,256,1024,0.09625537494818369,0.00867438571104595,11.026666666666667,0.11270387111918477
48,Ground,512,8,0.0022607747713724773,0.001614054636562758,11.986666666666666,0.013333333333333332
49,Ground,512,16,0.0032090532779693605,0.0018643036406898433,11.986666666666666,0.013333333333333332
50,Ground,512,32,0.007336853941281637,0.002738601065515699,11.973333333333333,0.0162383440672451
51,Ground,512,64,0.0131899627049764,0.003965050894600008,11.906666666666666,0.041608236435819186
52,Ground,512,128,0.019038734237353007,0.00504350161901852,11.813333333333333,0.06302349738762468
