,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.0022312436501185097,0.0015724242147066303,11.986666666666666,0.009396399265931733
1,Ground,8,16,0.004885767300923665,0.0024387875151514328,11.96,0.02293849377453313
2,Ground,8,32,0.0076853921016057335,0.003181788991560347,11.933333333333334,0.03622779862191886
3,Ground,8,64,0.015293090641498565,0.004299437990675444,11.86,0.044400052401363764
4,Ground,8,128,0.01217741052309672,0.003830191545647302,11.906666666666666,0.039398913970731225
5,Ground,8,256,0.03419806609551112,0.006275933140878147,11.673333333333334,0.07235054280374831
6,Ground,8,512,0.040486955245335896,0.006856138355827419,11.6,0.0846099089293803
7,Ground,16,8,0.004723635415236155,0.0023794401343783422,11.966666666666667,0.022016196329527123
8,Ground,16,16,0.001544113258520762,0.0015441132585207623,11.98,0.020000000000000007
9,Ground,16,32,0.011904920041561127,0.003713825449596797,11.913333333333334,0.03531471376356933
10,Ground,16,64,0.007973993817965189,0.0032375490650231684,11.92,0.03604620450283778
11,Ground,16,128,0.02049951086441676,0.005011616981733179,11.82,0.05681320702239949
12,Ground,16,256,0.03348531017700831,0.006018569681962219,11.726666666666667,0.06478093642489664
13,Ground,16,512,0.04258877734343211,0.006760199392342707,11.613333333333333,0.0778840224597546
14,Ground,32,8,0.005481602052847544,0.0027205232946060235,11.94,0.030256176916635364
15,Ground,32,16,0.005257274011770884,0.002710631496442233,11.953333333333333,0.033225777258358805
16,Ground,32,32,0.01147642860809962,0.003565447602059131,11.926666666666666,0.030058357359127395
17,Ground,32,64,0.017613801856835684,0.004783599127717044,11.82,0.05602013060996062
18,Ground,32,128,0.01914614111185074,0.004846273776458634,11.833333333333334,0.054683688079568984
19,Ground,32,256,0.035467463533083596,0.00607885453826178,11.72,0.06354198527444235
20,Ground,32,512,0.04601015716791153,0.007133571684158872,11.58,0.08887565151247746
21,Ground,64,8,0.00544029692808787,0.00241909821635909,11.973333333333333,0.016238344067245104
22,Ground,64,16,0.01144168605407079,0.0035401868997129555,11.926666666666666,0.02853102501691856
23,Ground,64,32,0.010177783866723378,0.003623607389372608,11.913333333333334,0.041164988780123715
24,Ground,64,64,0.007151753505071004,0.002907814622781719,11.946666666666667,0.02639684522311397
25,Ground,64,128,0.020030145943164827,0.004882706741143656,11.833333333333334,0.053022022073452114
26,Ground,64,256,0.03992291132609049,0.006591837864669424,11.64,0.07584276682480709
27,Ground,64,512,0.07358233153820037,0.008342496919738845,11.253333333333334,0.10668344387074451
28,Ground,128,8,0.0009482785065968831,0.000948278506596883,12.0,0.0
29,Ground,128,16,0.00544029692808787,0.00241909821635909,11.973333333333333,0.016238344067245104
30,Ground,128,32,0.009332575003306072,0.003516426112693074,11.906666666666666,0.039398913970731225
31,Ground,128,64,0.017294794817765555,0.004520190156904763,11.86,0.047326747501627166
32,Ground,128,128,0.015781086881955463,0.004528246859792683,11.853333333333333,0.05299670047275825
33,Ground,128,256,0.037977090179920195,0.0066954840567124965,11.62,0.0828302487733607
34,Ground,128,512,0.06483951658010483,0.007976245605134826,11.393333333333333,0.10139813070155106
35,Ground,256,8,0.0032090532779693605,0.001864303640689844,11.986666666666666,0.013333333333333332
36,Ground,256,16,0.00563717136780421,0.002513690939540057,11.966666666666667,0.019880328020616463
37,Ground,256,32,0.004856236179669698,0.002411653086239345,11.96,0.020897105972629792
38,Ground,256,64,0.017522074580192566,0.004795562511873903,11.826666666666666,0.05734363364110092
39,Ground,256,128,0.01883231113354365,0.00518740485132669,11.793333333333333,0.06840899941233296
40,Ground,256,256,0.03563703219095866,0.006367022940011229,11.653333333333334,0.07265293468757732
41,Ground,256,512,0.055882933338483175,0.007757262108484974,11.44,0.09897912915836624
42,Abstract,8,8,0.00563717136780421,0.002513690939540057,11.966666666666667,0.019880328020616463
43,Abstract,8,16,0.007453775107860565,0.0030791613831717204,11.94,0.033081825204131186
44,Abstract,8,32,0.012165636519591013,0.003640549009045243,11.94,0.031700499999585394
45,Abstract,8,64,0.02720709333817164,0.005696495502041463,11.753333333333334,0.0654953021295726
46,Abstract,8,128,0.03620931893587112,0.006238642711846289,11.7,0.06870486112229944
47,Abstract,8,256,0.05362008104721705,0.007658574228186913,11.446666666666667,0.09625500558373798
48,Abstract,8,512,0.11520098547140757,0.009022779459495766,10.76,0.12466689396909496
49,Abstract,16,8,0.004753166536490123,0.002406948659717548,11.966666666666667,0.023962436425231447
50,Abstract,16,16,0.007488517661889394,0.0031084703434532974,11.94,0.034407740661799704
51,Abstract,16,32,0.0138132510582606,0.004085626013622927,11.88,0.042220259776207796
52,Abstract,16,64,0.0338799332578977,0.006245868466811558,11.686666666666667,0.07212756947864213
53,Abstract,16,128,0.041464049418767294,0.006905798590400032,11.6,0.08460990892938032
54,Abstract,16,256,0.06281667192776998,0.00777232582625925,11.413333333333334,0.09373515293819074
55,Abstract,16,512,0.13013829429944357,0.008198090437490459,10.773333333333333,0.11552687075855227
56,Abstract,32,8,0.006569770276546478,0.002996256006729944,11.94,0.03568442343744172
57,Abstract,32,16,0.008830545047918956,0.0033739229948820827,11.926666666666666,0.03795283387056703
58,Abstract,32,32,0.018005325396855672,0.004520174740071592,11.866666666666667,0.04503706320236821
59,Abstract,32,64,0.03281950245300929,0.005994287175075621,11.713333333333333,0.06439299548291909
60,Abstract,32,128,0.04522193302710851,0.007086375244242002,11.566666666666666,0.086397793216218
61,Abstract,32,256,0.06352677086989085,0.00766020310823081,11.453333333333333,0.09102285607534708
62,Abstract,32,512,0.1276722091436386,0.008785633220195007,10.653333333333334,0.12369648452308829
63,Abstract,64,8,0.009426379799842835,0.003578459075600189,11.906666666666666,0.042670022239413075
64,Abstract,64,16,0.012021841208140056,0.0039707215114600895,11.88,0.045288041593884325
65,Abstract,64,32,0.02212357739607493,0.0050537459086585,11.826666666666666,0.054132711780520475
66,Abstract,64,64,0.03044388403495153,0.005731723071795281,11.766666666666667,0.06087848068806741
67,Abstract,64,128,0.030190172692139944,0.0059604776043765085,11.713333333333333,0.06843515630829734
68,Abstract,64,256,0.08074629068374634,0.008584337777300232,11.133333333333333,0.10936737615913796
69,Abstract,64,512,0.11811250219742457,0.008953396490665325,10.713333333333333,0.12126723375914177
70,Abstract,128,8,0.00803575833638509,0.0029920168663101214,11.946666666666667,0.022755714018836772
71,Abstract,128,16,0.013867976069450378,0.004347596123298786,11.853333333333333,0.05299670047275825
72,Abstract,128,32,0.017940620084603627,0.00433967727559816,11.9,0.03633057272520469
73,Abstract,128,64,0.03168550968170166,0.006180639274636028,11.706666666666667,0.07540890272370061
74,Abstract,128,128,0.050014144976933794,0.0075596413669541,11.48,0.0972646013951826
75,Abstract,128,256,0.06697009811798732,0.008030563233815144,11.34,0.09913721763022748
76,Abstract,128,512,0.1317536410689354,0.008693036617350748,10.606666666666667,0.12220812066979653
77,Abstract,256,8,0.005152126848697662,0.0026039695341341625,11.953333333333333,0.028904945919048988
78,Abstract,256,16,0.006297279795010885,0.0028423883972292278,11.946666666666667,0.031068469765534977
79,Abstract,256,32,0.010413306454817453,0.00324273401642517,11.966666666666667,0.02201619632952712
80,Abstract,256,64,0.014831934173901875,0.004217954498136275,11.88,0.0442890647089823
81,Abstract,256,128,0.029039660493532817,0.005636665886046937,11.786666666666667,0.06100329449178629
82,Abstract,256,256,0.06845762391885121,0.008539869780505272,11.213333333333333,0.11216266019284747
83,Abstract,256,512,0.10116928786039353,0.008914949595357189,10.94,0.11974245292943121
84,LLM,8,8,0.0,0.0,12.0,0.0
85,LLM,8,16,0.0,0.0,12.0,0.0
86,LLM,8,32,0.0,0.0,12.0,0.0
87,LLM,8,64,0.0,0.0,12.0,0.0
88,LLM,8,128,0.0,0.0,12.0,0.0
89,LLM,8,256,0.0,0.0,12.0,0.0
90,LLM,8,512,0.0,0.0,12.0,0.0
91,LLM,16,8,0.0,0.0,12.0,0.0
92,LLM,16,16,0.0,0.0,12.0,0.0
93,LLM,16,32,0.0,0.0,12.0,0.0
94,LLM,16,64,0.0,0.0,12.0,0.0
95,LLM,16,128,0.0,0.0,12.0,0.0
96,LLM,16,256,0.0,0.0,12.0,0.0
97,LLM,16,512,0.0,0.0,12.0,0.0
98,LLM,32,8,0.0,0.0,12.0,0.0
99,LLM,32,16,0.0,0.0,12.0,0.0
100,LLM,32,32,0.0,0.0,12.0,0.0
101,LLM,32,64,0.0,0.0,12.0,0.0
102,LLM,32,128,0.0,0.0,12.0,0.0
103,LLM,32,256,0.0,0.0,12.0,0.0
104,LLM,32,512,0.0,0.0,12.0,0.0
105,LLM,64,8,0.0,0.0,12.0,0.0
106,LLM,64,16,0.0,0.0,12.0,0.0
107,LLM,64,32,0.0,0.0,12.0,0.0
108,LLM,64,64,0.0,0.0,12.0,0.0
109,LLM,64,128,0.0,0.0,12.0,0.0
110,LLM,64,256,0.0,0.0,12.0,0.0
111,LLM,64,512,0.0,0.0,12.0,0.0
112,LLM,128,8,0.0,0.0,12.0,0.0
113,LLM,128,16,0.0,0.0,12.0,0.0
114,LLM,128,32,0.0,0.0,12.0,0.0
115,LLM,128,64,0.0,0.0,12.0,0.0
116,LLM,128,128,0.0,0.0,12.0,0.0
117,LLM,128,256,0.0,0.0,12.0,0.0
118,LLM,128,512,0.0,0.0,12.0,0.0
119,LLM,256,8,0.0,0.0,12.0,0.0
120,LLM,256,16,0.0,0.0,12.0,0.0
121,LLM,256,32,0.0,0.0,12.0,0.0
122,LLM,256,64,0.0,0.0,12.0,0.0
123,LLM,256,128,0.0,0.0,12.0,0.0
124,LLM,256,256,0.0,0.0,12.0,0.0
125,LLM,256,512,0.0,0.0,12.0,0.0
