model_name,total_runs
deepseek-r1:14b,1.8194444444444444
deepseek-r1:8b,1.6388888888888888
deepseek-r1,1.3888888888888888
deepseek-r1:70b,1.3118279569892473
deepseek-r1:32b,1.2666666666666666
llama3.3,1.1805555555555556
llama3.1,1.1428571428571428
llama3.1:70b,1.1111111111111112
