,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.2904319240649541,0.016369012698561527,6.306666666666667,0.12618890234611335
1,Ground,8,16,0.4116978536049525,0.011030442221064337,5.34,0.11265754566418666
2,Ground,8,32,0.46755800346533455,0.006224371696514088,4.726666666666667,0.0802103870418968
3,Ground,8,64,0.5121664571762085,0.00222541512673197,4.126666666666667,0.028842962404001225
4,Ground,8,128,0.5189525371789933,0.0014048304695740638,4.04,0.01863339956686231
5,Ground,16,8,0.31224175850550334,0.016568525297692524,6.086666666666667,0.13275152705101864
6,Ground,16,16,0.39378383855024973,0.012507894024361383,5.44,0.11212010179245639
7,Ground,16,32,0.4762863612174988,0.004985122761172181,4.62,0.06994404922773177
8,Ground,16,64,0.5173082178831101,0.00152339771512503,4.06,0.019455680145728283
9,Ground,16,128,0.5220062732696533,0.0,4.0,0.0
10,Ground,32,8,0.31136143942674,0.01614462460497137,6.16,0.1327998274977991
11,Ground,32,16,0.400614767074585,0.012730982114324921,5.3933333333333335,0.12184145148113827
12,Ground,32,32,0.4935069543123245,0.004282577154201456,4.386666666666667,0.06114980809924262
13,Ground,32,64,0.5163425064086914,0.0017867401539860496,4.073333333333333,0.023357290353915344
14,Ground,32,128,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201161
15,Ground,64,8,0.3205713496605555,0.01542047413790748,6.1066666666666665,0.12625979632107573
16,Ground,64,16,0.4180884490410487,0.011107193799738612,5.246666666666667,0.11190306874003829
17,Ground,64,32,0.48313943247000374,0.0054223653186590785,4.5,0.0646795577455242
18,Ground,64,64,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
19,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
20,Abstract,8,8,0.3550002066294352,0.015249359515624552,5.746666666666667,0.13045666364252823
21,Abstract,8,16,0.4839894320567449,0.006161908749421191,4.466666666666667,0.06531059276425605
22,Abstract,8,32,0.5138107764720917,0.002172272172879165,4.1066666666666665,0.028609328224316652
23,Abstract,8,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
24,Abstract,8,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
25,Abstract,16,8,0.377659172018369,0.013815661543083214,5.613333333333333,0.12683963228882683
26,Abstract,16,16,0.494509184161822,0.004991663202545195,4.346666666666667,0.05753059037791909
27,Abstract,16,32,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
28,Abstract,16,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
29,Abstract,16,128,0.5220062732696533,0.0,4.0,0.0
30,Abstract,32,8,0.3610232903560003,0.014032890415974369,5.773333333333333,0.123392270820079
31,Abstract,32,16,0.48838953137397767,0.004720846972503323,4.46,0.06731009411354989
32,Abstract,32,32,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
33,Abstract,32,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
34,Abstract,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
35,Abstract,64,8,0.38832726418972013,0.01228125451571311,5.56,0.11681071324714394
36,Abstract,64,16,0.4917181694507599,0.004266471618976118,4.406666666666666,0.058387478865697916
37,Abstract,64,32,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
38,Abstract,64,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
39,Abstract,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
