,sum_sq,df,F,PR(>F)
C(output),2.920403151839842,2.0,2.1095154250802812,0.12192540929759332
map_size,119.86775558784454,1.0,173.1698441860731,3.693352322107065e-36
Residual,593.9055658204599,858.0,,
