,sum_sq,df,F,PR(>F)
C(model),1.4018798332088986,7.0,28.5402519558203,1.9258252811339107e-39
C(prompt_id),0.9922710443702288,11.0,12.855313960811754,1.0186360398192598e-24
C(model):C(prompt_id),1.679500740197202,77.0,3.108383027737541,2.0551026747854894e-18
map_size,385.426748005272,1.0,54927.1297482216,0.0
Residual,160.99231691186745,22943.0,,
