,sum_sq,df,F,PR(>F)
C(representation_key),0.718748699136543,1.0,1.0357283246382547,0.30910358313035335
map_size,119.86528489321604,1.0,172.72778490434942,4.408463509667916e-36
Residual,596.1072202731633,859.0,,
