,sum_sq,df,F,PR(>F)
C(representation_key),0.3279344881575488,1.0,45.85842515143136,1.3017386150542193e-11
map_size,385.426748005259,1.0,53898.154396823236,0.0
Residual,164.73803404148632,23037.0,,
