,model,mean_model_score,mean_gain_diff,z_score,z_gain_diff,composite_z
0,deepseek-r1:32b,0.2210495903162679,0.059402754740107304,0.8910163725799883,-1.2106715319236785,2.1016879045036667
1,deepseek-r1:7b,0.22494772577350822,0.08343201469553513,1.407282452079125,-0.4699377491008122,1.877220201179937
2,deepseek-r1:70b,0.21854931264962932,0.08539017008782479,0.5598815100863772,-0.4095750140945651,0.9694565241809423
3,deepseek-r1:14b,0.21076225074754207,0.0750414332950289,-0.47143101435159107,-0.7285885403615,0.25715752600990893
4,deepseek-r1:8b,0.20865559624842994,0.08437055070658292,-0.7504347254965583,-0.4410061327685382,-0.30942859272802015
5,llama3.1:70b,0.21323328437691064,0.10508688146187356,-0.144169209794453,0.19760221701170005,-0.341771426806153
6,llama3.1:8b,0.21792494287476927,0.12925161794153453,0.47719045448797653,0.9425122432338661,-0.46532178874588953
7,llama3.3:70b,0.19945212183784988,0.16743820863471873,-1.9693358395908758,2.1196645080035275,-4.0890003475944035
