,coef,std_err,z,pval
C(model)[T.deepseek-r1:32b],0.008634491211653515,0.0032678723482290014,2.6422363824379222,0.008236055210225402
C(model)[T.deepseek-r1:70b],0.0061193260621129255,0.003267872348229001,1.8725719397911147,0.06112751915963145
C(model)[T.deepseek-r1:7b],0.014185475025966166,0.0032678723482290005,4.3408901922542595,1.4190663101361346e-05
C(model)[T.deepseek-r1:8b],-0.0021066544991121244,0.0032678723482290005,-0.6446563006825559,0.519149941078866
C(model)[T.llama3.1:70b],0.0024710336293685925,0.0032678723482290005,0.7561597779998203,0.44955340500537844
C(model)[T.llama3.1:8b],0.0071626921272272106,0.003267872348229001,2.1918518730111898,0.028390204120654638
C(model)[T.llama3.3:70b],-0.011310128909692168,0.0032678723482290014,-3.461006950232192,0.0005381589179832725
C(prompt_id)[T.10],0.001504193675137774,0.004002309898855865,0.37583138566250857,0.7070422531137371
C(prompt_id)[T.11],0.016267998414995564,0.004002309898855864,4.064652369784279,4.810410512231856e-05
C(prompt_id)[T.1],0.0034926076330765075,0.004002309898855864,0.872647976128719,0.38285498201418866
C(prompt_id)[T.2],0.014973738222896193,0.004002309898855864,3.741274064553752,0.00018308972933086113
C(prompt_id)[T.3],0.01735682844335482,0.004002309898855865,4.336702774644361,1.4463599552314142e-05
C(prompt_id)[T.4],0.0067276060991768825,0.004002309898855865,1.6809308297441172,0.09277635082663374
C(prompt_id)[T.5],0.013970136738765782,0.004002309898855864,3.49051849851992,0.0004820842373295174
C(prompt_id)[T.6],-3.885297743567713e-05,0.004002309898855864,-0.009707638443186018,0.9922545468175012
C(prompt_id)[T.7],0.002279873276614321,0.004002309898855864,0.5696393668231603,0.5689223221858892
C(prompt_id)[T.8],0.008785141149418217,0.004002309898855865,2.1950177201244747,0.028162326647828365
C(prompt_id)[T.9],0.009419977325235132,0.004002309898855864,2.35363516651422,0.01859084751317517
Intercept,0.4954399333699426,0.050566568700101996,9.797776398637529,1.1509127151952606e-22
map_id Var,,,,0.06263230312938599
map_size,-0.0516304623451436,0.008148028313178794,-6.336559025161388,2.3495319742848514e-10
