,sum_sq,df,F,PR(>F)
C(model),41.06288357302912,7.0,8.836941149413878,1.750593483771226e-10
C(prompt_id),6.186301654939657,11.0,0.8472058912011827,0.5926281783781889
C(model):C(prompt_id),41.73652389482801,77.0,0.8165374517127882,0.8683963797593686
map_size,120.32806567107866,1.0,181.26647709650447,3.103202709995436e-37
Residual,507.8212569297529,765.0,,
