,sum_sq,df,F,PR(>F)
C(output),0.2658196204216603,2.0,18.578322946195797,8.670357687181505e-09
map_size,385.42674800527027,1.0,53875.50087676266,0.0
Residual,164.800148909222,23036.0,,
