,sum_sq,df,F,PR(>F)
C(model),1.4018798332089322,7.0,33.21994227867986,2.5047180251810356e-46
C(abstractability),24.08934317850717,2.0,1997.9337731918013,0.0
C(model):C(abstractability),0.8273454057515929,14.0,9.802682787969989,2.974814945996542e-22
map_size,385.4267480052743,1.0,63933.42576631798,0.0
Residual,138.74740011217546,23015.0,,
