,sum_sq,df,F,PR(>F)
C(model),9.281973385042663,7.0,94.91270516326675,5.844696290352564e-138
map_size,87.65662280744985,1.0,6274.322060302968,0.0
Residual,520.6597601128396,37268.0,,
