group1,group2,meandiff,p-adj,lower,upper,reject
domain2,necessary-domain1,0.0037,0.3277,-0.0024,0.0099,False
domain2,necessary-domain2,-0.0045,0.1371,-0.01,0.001,False
necessary-domain1,necessary-domain2,-0.0082,0.005,-0.0144,-0.0021,True
