,sum_sq,df,F,PR(>F)
C(model),40.98856939229838,7.0,9.802288602356509,8.854593063701784e-12
C(abstractability),16.81468786635838,2.0,14.074130662253566,9.732254636752072e-07
C(model):C(abstractability),38.93781140696939,14.0,4.655928111349986,3.1775632810517206e-08
map_size,119.66116320571923,1.0,200.31615924599126,6.269013558680106e-41
Residual,499.99158320619273,837.0,,
